index,id,release_date,production_budget,worldwide_gross,genre_ids
Adrift,89,2018,35000000,57897191,Romance
Adrift,89,2018,35000000,57897191,Adventure
Adulterers,86,2016,750000,0,Thriller
Adulterers,86,2016,750000,0,Crime
Adulterers,86,2016,750000,0,Drama
After,2,2012,650000,0,Mystery
After,2,2012,650000,0,Thriller
After,2,2012,650000,0,Mystery
After,2,2012,650000,0,Drama
After Earth,53,2013,130000000,251499665,Science Fiction
After Earth,53,2013,130000000,251499665,Action
After Earth,53,2013,130000000,251499665,Adventure
After.Life,49,2010,4500000,2481925,Drama
After.Life,49,2010,4500000,2481925,Horror
After.Life,49,2010,4500000,2481925,Mystery
After.Life,49,2010,4500000,2481925,Thriller
Against the Wild,33,2014,1800000,0,Adventure
Against the Wild,33,2014,1800000,0,Family
Ain't Them Bodies Saints,64,2013,5000000,1075009,Crime
Ain't Them Bodies Saints,64,2013,5000000,1075009,Drama
Ain't Them Bodies Saints,64,2013,5000000,1075009,Romance
Ain't Them Bodies Saints,64,2013,5000000,1075009,Western
Air Strike,21,2018,65000000,516279,Drama
Air Strike,21,2018,65000000,516279,War
Air Strike,21,2018,65000000,516279,Action
Air Strike,21,2018,65000000,516279,Adventure
Airborne,85,2012,1200000,0,Horror
Airborne,85,2012,1200000,0,Thriller
Albert Nobbs,67,2011,7500000,8539003,Drama
Alex Cross,100,2012,35000000,35426759,Action
Alex Cross,100,2012,35000000,35426759,Thriller
Alex Cross,100,2012,35000000,35426759,Crime
Alex Cross,100,2012,35000000,35426759,Mystery
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",44,2014,28000000,101379287,Family
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",44,2014,28000000,101379287,Comedy
Alice Through the Looking Glass,26,2016,170000000,276928112,Adventure
Alice Through the Looking Glass,26,2016,170000000,276928112,Family
Alice Through the Looking Glass,26,2016,170000000,276928112,Fantasy
Alice in Wonderland,51,2010,200000000,1025491110,Family
Alice in Wonderland,51,2010,200000000,1025491110,Fantasy
Alice in Wonderland,51,2010,200000000,1025491110,Adventure
Alice in Wonderland,60,1951,3000000,0,Family
Alice in Wonderland,60,1951,3000000,0,Fantasy
Alice in Wonderland,60,1951,3000000,0,Adventure
Alien: Covenant,12,2017,97000000,238521247,Horror
Alien: Covenant,12,2017,97000000,238521247,Science Fiction
Alien: Covenant,12,2017,97000000,238521247,Thriller
All Eyez on Me,91,2017,45000000,54876855,Drama
All Eyez on Me,91,2017,45000000,54876855,Music
All Good Things,96,2010,20000000,873617,Drama
All Good Things,96,2010,20000000,873617,Mystery
All Good Things,96,2010,20000000,873617,Thriller
All Good Things,96,2010,20000000,873617,Crime
All Good Things,96,2010,20000000,873617,Romance
All Saints,12,2017,2000000,5941994,Drama
All Saints,12,2017,2000000,5941994,Comedy
