index,id,release_date,production_budget,worldwide_gross,genre_ids
Admission,76,2013,13000000,18733666,"[35, 18, 10749]"
Adoration,33,2009,4000000,384244,
Adrift,89,2018,35000000,57897191,[99]
Adrift,89,2018,35000000,57897191,"[53, 10749, 12]"
Adulterers,86,2016,750000,0,"[53, 80, 18]"
Adventureland,50,2009,9800000,17553055,
Aeon Flux,35,2005,55000000,53913573,
After,2,2012,650000,0,"[9648, 53]"
After,2,2012,650000,0,"[9648, 18]"
After Earth,53,2013,130000000,251499665,"[878, 28, 12]"
After Hours,30,1985,4500000,10609321,
After the Sunset,75,2004,57000000,38329114,
After.Life,49,2010,4500000,2481925,"[18, 27, 9648, 53]"
Against the Ropes,52,2004,39000000,6429865,
Against the Wild,33,2014,1800000,0,"[12, 10751]"
Agent Cody Banks,99,2003,25000000,58240458,
Agent Cody Banks 2: Destination London,43,2004,26000000,28703083,
Agora,49,2010,70000000,38992292,
Aim̩e & Jaguar,77,2000,6800000,927107,
Ain't Them Bodies Saints,64,2013,5000000,1075009,"[80, 18, 10749, 37]"
Air Bud,74,1997,3000000,27788649,
Air Force One,92,1997,85000000,315268353,
Air Strike,21,2018,65000000,516279,"[18, 10752, 28, 12]"
Airborne,85,2012,1200000,0,"[27, 53]"
Airlift (2016),62,2016,4400000,9969237,
Airplane!,88,1980,3500000,83453539,
Ajami,60,2010,1000000,2721096,
Akeelah and the Bee,85,2006,8000000,18959424,
Akira,36,2001,8000000,19585,
Akmareul Boatda,80,2011,6000000,13168809,
Aladdin,81,2019,182000000,619234314,
Aladdin,33,1992,28000000,504050219,
Alatriste,81,2007,28000000,22860477,
Albert Nobbs,67,2011,7500000,8539003,[18]
Albino Alligator,65,1997,5000000,353480,
Alex & Emma,70,2003,30000000,15358583,
Alex Cross,100,2012,35000000,35426759,"[28, 53, 80, 9648]"
Alex Rider: Operation Stormbreaker,34,2006,40000000,20722450,
Alexander,51,2004,155000000,167297191,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",44,2014,28000000,101379287,"[10751, 35]"
Alexander's Ragtime Band,18,1938,2000000,4000000,
Alfie,12,2004,40000000,35195939,
Ali,45,2001,109000000,87683966,
Alice Through the Looking Glass,26,2016,170000000,276928112,"[12, 10751, 14]"
Alice in Wonderland,51,2010,200000000,1025491110,"[10751, 14, 12]"
Alice in Wonderland,51,2010,200000000,1025491110,[]
Alice in Wonderland,60,1951,3000000,0,"[10751, 14, 12]"
Alice in Wonderland,60,1951,3000000,0,[]
Alien,21,1979,10700000,203628947,
Alien 3,17,1992,55000000,158500000,
Alien Uprising,44,2013,2500000,0,
Alien: Covenant,12,2017,97000000,238521247,"[27, 878, 53]"
Alien: Resurrection,1,1997,60000000,160700000,
Aliens,68,1986,17000000,183316455,
Aliens in the Attic,99,2009,45000000,59551283,
Aliens vs. Predator - Requiem,52,2007,40000000,128884494,
Alita: Battle Angel,24,2019,170000000,402976036,
Alive,2,1993,32000000,36299670,
All About Steve,41,2009,15000000,40127259,
All About the Benjamins,93,2002,14000000,25873145,
All Eyez on Me,91,2017,45000000,54876855,"[18, 10402]"
All Good Things,96,2010,20000000,873617,"[18, 9648, 53, 80, 10749]"
All Hat,5,2008,4900000,15198,
All Saints,12,2017,2000000,5941994,"[18, 35]"
All Superheroes Must Die,56,2013,20000,0,"[878, 53]"
All You Need Is Love,59,2014,300000,3565259,
All is Lost,43,2013,8500000,10386814,
All or Nothing,14,2002,9000000,184255,
All the Boys Love Mandy Lane,83,2013,750000,1960521,"[27, 9648, 53]"
All the King's Men,43,2006,55000000,9521458,
All the Pretty Horses,12,2000,45000000,18120267,
All the Queen's Men,52,2002,15000000,22723,
